name,link,organization,issue_date
"Continuous Integration/Continuous Delivery
                                                (CI/CD) with Jenkins",https://www.linkedin.com/learning/certificates/132603336f3061853ce4f393206cba8aca6fc53c5261142fc033c94d9440fa96,LinkedInLinkedIn,"Issued Sep
                                    2024Issued Sep 2024"
"Elasticsearch Essential
                                                Training",https://www.linkedin.com/learning/certificates/7b64a38423ab675e054ccb5b060432824e31ba00641595155a4d9ac71c6b9823,LinkedInLinkedIn,"Issued Sep
                                    2024Issued Sep 2024"
Redis Essential Training,https://www.linkedin.com/learning/certificates/9718df70d7c04cc06b7f71d7f37ef8bedb7b3691738d33c13c67ce7149949cdf,LinkedInLinkedIn,"Issued Sep
                                    2024Issued Sep 2024"
Running Jenkins on AWS,https://www.linkedin.com/learning/certificates/0477496f980503c225bb88bc8c5122c9aad623eb016c5eaa2345f8966b71c280,LinkedInLinkedIn,"Issued Sep
                                    2024Issued Sep 2024"
"AWS Academy Graduate - AWS Academy Cloud
                                                Foundations",https://www.credly.com/badges/3a1b99f8-cd05-4539-8655-049b60ae015f/linked_in_profile,Amazon Web Services (AWS)Amazon Web Services (AWS),"Issued Aug
                                    2024Issued Aug 2024"
AWS Cloud Practitioner Essentials,,Amazon Web Services (AWS)Amazon Web Services (AWS),"Issued Aug
                                    2024Issued Aug 2024"
"EF SET English Certificate 64/100 (C1
                                                Advanced) - 90 Minutes",https://cert.efset.org/c9Lk6z,EF SETEF SET,"Issued Jul
                                    2024Issued Jul 2024"
"EF SET English Certificate 65/100 (C1
                                                Advanced) - 50 Minutes",https://cert.efset.org/c9Lk6z,EF SETEF SET,"Issued Jul
                                    2024Issued Jul 2024"
"Jenkins Essential
                                                Training",https://www.linkedin.com/learning/certificates/2c5da0779e5242df2d981772b0b590bf2daa4038aee0cd1712203bd8dae28ae3,LinkedInLinkedIn,"Issued Jul
                                    2024Issued Jul 2024"
"Oracle Cloud Infrastructure 2024 Generative
                                                AI Certified Professional",https://media.licdn.com/dms/document/media/D4D1FAQGknNm7HQGNiw/feedshare-document-pdf-analyzed/0/1721663205453?e=1722470400&v=beta&t=dvLL8UuJzSD6GltwM0mMFkqx5GM8GIx768GXLYJhbAw,OracleOracle,"Issued Jul
                                    2024Issued Jul 2024"
"Creating Your First Spring Boot
                                                Microservice",https://www.linkedin.com/learning/certificates/e691f2cfca71f28aafd25d24f54f00acea38bf931f64074917c2e96f75c1a35e,LinkedInLinkedIn,"Issued Jun
                                    2024Issued Jun 2024"
"Cloud-Native Continous Integration and
                                                Delivery",,Infosys SpringboardInfosys Springboard,"Issued May
                                    2024Issued May 2024"
"Creating Continuous Deployment Pipeline for
                                                Cloud Platforms",,Infosys SpringboardInfosys Springboard,"Issued May
                                    2024Issued May 2024"
"Learning Spring 6 with Spring Boot
                                                3",https://www.linkedin.com/learning/certificates/b16220950716bbeaced2c6ffe8cbabf023cf88715268457be382f50f1456fcdb,LinkedInLinkedIn,"Issued May
                                    2024Issued May 2024"
"TechA DevOps Engineer
                                                Certification",,Infosys SpringboardInfosys Springboard,"Issued May
                                    2024Issued May 2024"
DevOps with Azure,,Infosys SpringboardInfosys Springboard,"Issued Mar
                                    2024Issued Mar 2024"
jQuery Essential Training,https://www.linkedin.com/learning/certificates/2d8d346e2386c35dab40ff4d9a84931a669107e7afb1f8f7e4c88112fcf6b06f,LinkedInLinkedIn,"Issued Mar
                                    2024Issued Mar 2024"
"Learning Linux Shell
                                                Scripting",https://www.linkedin.com/learning/certificates/0803abf10dc219a232bc697de5703a27547af31402fc7aa3861d5e5fec5d0064,LinkedInLinkedIn,"Issued Jan
                                    2024Issued Jan 2024"
